sample,Hash,nReads
CI_Al_6_May_C_r3,e99d1668c1d0134c149b205d148ef407abb3e995,20624
PG_Al_15_Aug_A_r3,e99d1668c1d0134c149b205d148ef407abb3e995,6976
CI_Al_1_May_A_r3,e99d1668c1d0134c149b205d148ef407abb3e995,18712
PG_Al_3_Aug_A_r3,e99d1668c1d0134c149b205d148ef407abb3e995,5081
CI_Al_6_May_B_r3,e99d1668c1d0134c149b205d148ef407abb3e995,15251
CI_Al_10_Aug_A_r3,e99d1668c1d0134c149b205d148ef407abb3e995,25
CI_Al_3_Aug_B_r3,e99d1668c1d0134c149b205d148ef407abb3e995,3979
CI_Al_10_May_A_r3,e99d1668c1d0134c149b205d148ef407abb3e995,6889
PG_Al_10_Aug_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,81
PG_Al_6_Aug_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,47
NA_NA_NA_NA_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,18
CI_Al_15_Aug_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,2281
CI_Al_3_May_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,24862
CI_Al_1_May_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,28692
CI_Al_15_May_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,4114
PG_Al_3_May_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,1210
CI_Al_6_Aug_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,4
PG_Al_15_May_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,1966
PG_Al_1_Aug_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,83
CI_Al_6_Aug_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,11
PG_Al_6_May_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,4665
PG_Al_3_May_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,1251
CI_Al_3_May_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,17003
CI_Al_3_May_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,22591
CI_Al_10_May_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,7420
CI_Al_10_May_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,9488
PG_Al_1_May_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,2755
PG_Al_1_Aug_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,116
PG_Al_1_May_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,2285
PG_Al_15_Aug_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,37
PG_Al_1_Aug_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,456
PG_Al_3_Aug_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,146
PG_Al_3_Aug_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,121
PG_Al_1_May_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,1145
PG_Al_6_May_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,6910
PG_Al_15_May_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,2229
CI_Al_6_May_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,23745
PG_Al_6_May_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,2315
NA_NA_NA_NA_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,197
CI_Al_1_May_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,14166
CI_Al_6_Aug_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,321
PG_Al_3_May_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,474
PG_Al_10_May_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,1805
